Species,Unique_ID,Numbers,Length,Mort,Injury,Microsporidian
TW,W4F96TW,25,NA,NA,NA,NA
TW,W4F96TW,40,NA,NA,NA,NA
TW,W4F96TW,22,NA,NA,NA,NA
TW,W4F96TW,15,NA,NA,NA,NA
TW,W4F96TW,22,NA,NA,NA,NA
TW,W4F96TW,1,27,NA,NA,NA
TW,W4F96TW,1,27,NA,NA,NA
TW,W4F96TW,1,23,NA,NA,NA
TW,W4F96TW,1,28,NA,NA,NA
TW,W4F96TW,1,17,NA,NA,NA
TW,W4F96TW,1,25,NA,NA,NA
TW,W4F96TW,1,19,NA,NA,NA
TW,W4F96TW,1,16,NA,NA,NA
TW,W4F96TW,1,17,NA,NA,NA
TW,W4F96TW,1,26,NA,NA,NA
TW,W4F96TW,1,16,NA,NA,NA
TW,W4F96TW,1,16,NA,NA,NA
TW,W4F96TW,1,25,NA,NA,NA
TW,W4F96TW,1,17,NA,NA,NA
TW,W4F96TW,1,25,NA,NA,NA
TW,W4F96TW,1,15,NA,NA,NA
TW,W4F96TW,1,20,NA,NA,NA
TW,W4F96TW,1,17,NA,NA,NA
TW,W4F96TW,1,16,NA,NA,NA
TW,W4F96TW,1,20,NA,NA,NA
TW,W4F96TW,1,17,NA,NA,NA
TW,W4F96TW,1,17,NA,NA,NA
TW,W4F96TW,1,23,NA,NA,NA
TW,W4F96TW,1,28,NA,NA,NA
TW,W4F96TW,1,18,NA,NA,NA
TW,W4F96TW,1,26,NA,NA,NA
TW,W4F96TW,1,24,NA,NA,NA
TW,W4F96TW,1,39,NA,NA,NA
TW,W4F96TW,1,17,NA,NA,NA
TW,W4F96TW,1,20,NA,NA,NA
TW,W4F96TW,1,34,NA,NA,NA
TW,W4F96TW,1,32,NA,NA,NA
TW,W4F96TW,1,16,NA,NA,NA
TW,W4F96TW,1,15,NA,NA,NA
TW,W4F96TW,1,24,NA,NA,NA
TW,W4F96TW,1,16,NA,NA,NA
TW,W4F96TW,1,21,NA,NA,NA
TW,W4F96TW,1,27,NA,NA,NA
TW,W4F96TW,1,16,NA,NA,NA
TW,W4F96TW,1,16,NA,NA,NA
TW,W4F96TW,1,25,NA,NA,NA
TW,W4F96TW,1,14,NA,NA,NA
TW,W4F96TW,1,25,NA,NA,NA
TW,W4F96TW,1,16,NA,NA,NA
TW,W4F96TW,1,20,NA,NA,NA
TW,W4F96TW,1,25,NA,NA,NA
TW,W4F96TW,1,24,NA,NA,NA
TW,W4F96TW,1,24,NA,NA,NA
TW,W4F96TW,1,18,NA,NA,NA
TW,W4F96TW,1,30,NA,NA,NA
TW,W4F96TW,1,22,NA,NA,NA
SB,W4F96SB,1,32,NA,NA,NA
TW,NW6F96TW,50,NA,NA,NA,NA
TW,NW6F96TW,11,NA,NA,NA,NA
TW,NW6F96TW,50,NA,NA,NA,NA
TW,NW6F96TW,27,NA,NA,NA,NA
TW,NW6F96TW,14,NA,NA,NA,NA
TW,NW6F96TW,21,NA,NA,NA,NA
TW,NW6F96TW,30,NA,NA,NA,NA
TW,NW6F96TW,12,NA,NA,NA,NA
TW,NW6F96TW,40,NA,NA,NA,NA
TW,NW6F96TW,61,NA,NA,NA,NA
TW,NW6F96TW,25,NA,NA,NA,NA
TW,NW6F96TW,15,NA,NA,NA,NA
TW,NW6F96TW,75,NA,NA,NA,NA
TW,NW6F96TW,8,NA,NA,NA,NA
TW,NW6F96TW,43,NA,NA,NA,NA
TW,NW6F96TW,60,NA,NA,NA,NA
TW,NW6F96TW,103,NA,NA,NA,NA
TW,NW6F96TW,27,NA,NA,NA,NA
TW,NW6F96TW,29,NA,NA,NA,NA
TW,NW6F96TW,9,NA,NA,NA,NA
TW,NW6F96TW,1,16,NA,NA,NA
TW,NW6F96TW,1,22,NA,NA,NA
TW,NW6F96TW,1,39,NA,NA,NA
TW,NW6F96TW,1,18,NA,NA,NA
TW,NW6F96TW,1,21,NA,NA,NA
TW,NW6F96TW,1,40,NA,NA,NA
TW,NW6F96TW,1,19,NA,NA,NA
TW,NW6F96TW,1,17,NA,NA,NA
TW,NW6F96TW,1,18,NA,NA,NA
TW,NW6F96TW,1,18,NA,NA,NA
TW,NW6F96TW,1,18,NA,NA,NA
TW,NW6F96TW,1,17,NA,NA,NA
TW,NW6F96TW,1,17,NA,NA,NA
TW,NW6F96TW,1,18,NA,NA,NA
TW,NW6F96TW,1,19,NA,NA,NA
TW,NW6F96TW,1,16,NA,NA,NA
TW,NW6F96TW,1,26,NA,NA,NA
TW,NW6F96TW,1,17,NA,NA,NA
TW,NW6F96TW,1,22,NA,NA,NA
TW,NW6F96TW,1,18,NA,NA,NA
TW,NW6F96TW,1,18,NA,NA,NA
TW,NW6F96TW,1,17,NA,NA,NA
