Date,Zone,ID,Station_ID,Unique_ID,Start_time,Stop_time,Meter,Depth,Air_temp,Water_temp,Salinity,Spec_cond,Der_spec_cond,DO,Perc_sat,pH,comments
2/20/1996,W,1,W1,W10.4125,9:54:00 AM,10:20:00 AM,,0.9,17.3,14,6,8330,8330,2.1,21,,"combine rows 2-3, add columns for differing data values"
2/20/1996,W,1,W1,W10.4125,9:54:00 AM,10:20:00 AM,,0,,14,5,7030,7030,8.9,89,,
2/20/1996,W,2,W2,W20.434027777777778,10:25:00 AM,10:45:00 AM,,1.3,16,14,6,8330,8330,8.6,87,,
2/20/1996,W,2,W2,W20.434027777777778,10:25:00 AM,10:45:00 AM,,0,,14.5,5,7120,7120,9.6,97,,
2/20/1996,W,2.1,W2.1,W2.10.451388888888889,10:50:00 AM,11:05:00 AM,,0.45,15,14.2,5,7070,7070,8.8,88,,
2/20/1996,W,2.1,W2.1,W2.10.451388888888889,10:50:00 AM,11:05:00 AM,,0,,14.2,5,7070,7070,9.4,95,,
2/20/1996,W,3,W3,W30.46875,11:15:00 AM,11:30:00 AM,,0.25,14.5,14.8,5.2,7430,7430,9.4,96,,
2/20/1996,W,3,W3,W30.46875,11:15:00 AM,11:30:00 AM,,0,,14,3,4360,4360,10.2,101,,
2/20/1996,W,3.1,W3.1,W3.10.483333333333333,11:36:00 AM,11:54:00 AM,,0.62,14.2,14,6,8330,8330,9.1,92,,
2/20/1996,W,3.1,W3.1,W3.10.483333333333333,11:36:00 AM,11:54:00 AM,,0,,14.1,5,7050,7050,8.4,84,,
2/20/1996,W,4,W4,W40.498611111111111,11:58:00 AM,12:20:00 PM,,0.3,16,15,6,8530,8530,8.4,86,,
2/20/1996,W,4,W4,W40.498611111111111,11:58:00 AM,12:20:00 PM,,0,,14.5,6,8430,8430,9.9,101,,
2/20/1996,W,5,W5,W50.517361111111111,12:25:00 PM,12:40:00 PM,,0.45,16,15,5.8,8270,8270,8.4,86,,saturation DO 9.7
2/20/1996,W,5,W5,W50.517361111111111,12:25:00 PM,12:40:00 PM,,0,,15,4,5850,5850,9.8,100,,
2/20/1996,W,5.1,W5.1,W5.10.529166666666667,12:42:00 PM,12:52:00 PM,,1.15,14.8,15,5.6,8000,8000,8.3,85,,
2/20/1996,W,5.1,W5.1,W5.10.529166666666667,12:42:00 PM,12:52:00 PM,,0,,15,5,7200,7200,10,102,,
2/20/1996,NW,6,NW6,NW60.586805555555556,2:05:00 PM,2:35:00 PM,,1.1,16.2,14.8,9.6,13130,13130,8.5,89,,
2/20/1996,NW,6,NW6,NW60.586805555555556,2:05:00 PM,2:35:00 PM,,0,,15.2,7,9900,9900,9.9,103,,
2/20/1996,NW,7,NW7,NW70.611111111111111,2:40:00 PM,3:10:00 PM,,1.15,16.5,15.2,5.5,7910,7910,7.4,76,,barometric pressure 29.87 in Hg@1600 HR
2/20/1996,NW,7,NW7,NW70.611111111111111,2:40:00 PM,3:10:00 PM,,0,,17,3,4680,4680,9.2,97,,
2/28/1996,NE,12,NE12,NE120.395833333333333,9:30:00 AM,10:12:00 AM,,1.1,14.5,11,2.7,3670,3670,6,55,,saturation DO 10.9
2/28/1996,NE,12,NE12,NE120.395833333333333,9:30:00 AM,10:12:00 AM,,0,,11,2.5,3410,3410,12.3,113,,
2/28/1996,NE,12.1,NE12.1,NE12.10.427083333333333,10:15:00 AM,10:45:00 AM,,1.2,9.5,11,2.5,3410,3410,7,65,,
2/28/1996,NE,12.1,NE12.1,NE12.10.427083333333333,10:15:00 AM,10:45:00 AM,,0,,11,2.3,3150,3150,10.2,94,,
10/3/1996,W,1,W1,W10.364583333333333,8:45:00 AM,10:15:00 AM,,0.74,17,14.5,9,12290,12290,1.2,13,,
10/3/1996,W,1,W1,W10.364583333333333,8:45:00 AM,10:15:00 AM,,0,,14.5,9,12290,12290,,,,
10/3/1996,W,1.1,W1.1,W1.10.440972222222222,10:35:00 AM,12:00:00 PM,,0.4,17,15.5,8.8,12320,12320,1.2,13,,
