year,zone,substrate,SAV,EAV,algae,bottom.temp,bottom.sal,bottom.DO,depth,tw.m2,stick.m2,sculp.m2,total.m2,tw.stdlength,rain,fish.kill
2009,E,muck,4,0,0,14.5,10.2,2.8,0.19,88.7654321,4.444444444,0,93.20987654,32.4,26.65,0
2009,E,muck,2,1,0,15.1,10.2,5.8,0.145,28.92857143,0,0,28.92857143,21.68,26.65,0
2009,E,muck,1,0,0,16,7.7,0.2,0.175,0.37037037,0.12345679,0,0.49382716,22.66666667,26.65,0
2009,E,muck,0,0,1,17.2,10.2,13.13,0.15,6.315789474,0,0,6.315789474,18.52,26.65,0
2009,E,muck,1,0,1,17.7,10.2,14.3,0.1,5.555555556,0.138888889,0,5.694444444,19.24,26.65,0
2009,NW,muck,0,0,3,18.8,10.4,10.2,0.05,0.303030303,0,0,0.303030303,17.66666667,26.65,0
2009,NW,muck,4,0,0,16.7,10.2,0.7,0.25,5.595238095,0.952380952,0,6.547619048,30.88,26.65,0
2009,NW,muck,2,0,2,19.1,10.4,9.2,0.1,34.50980392,0.098039216,0,34.60784314,24.34615385,26.65,0
2009,NW,muck,1,0,0,17.4,10.4,8.1,0.125,1.547619048,0.119047619,0,1.666666667,20.92307692,26.65,0
2009,NW,mud,4,0,0,15.7,10.6,4.5,0.15,102.6388889,0.972222222,0,103.6111111,29.96153846,26.65,0
2009,W,muck,3,0,0,13.1,10.4,4.8,0.275,72.26666667,13.42222222,0.088888889,85.77777778,31.84615385,26.65,0
2009,W,sand,4,1,0,15.8,10.4,2.2,0.35,36.53333333,4.266666667,0.266666667,41.06666667,29.03846154,26.65,0
2009,W,sand,1,0,0,16,10.4,8.1,0.225,18.19047619,0.095238095,0,18.28571429,30.69230769,26.65,0
2009,W,sand,4,0,0,15.1,10.4,5.2,0.175,49.48148148,3.851851852,0,53.33333333,29.11538462,26.65,0
2009,W,sand,4,0,0,13.7,10.4,1.5,0.165,5.555555556,0.303030303,0,5.858585859,23.65384615,26.65,0
2008,E,muck,4,0,0,,,,0.28,4.29,0,0,4.29,27.1,29.94,0
2008,E,muck,4,0,0,,,,0.28,13.33,0.18,0,13.51,24.53333333,29.94,0
2008,E,mud,,,,,,,0.3,33.45,0.42,0,33.87,26.66666667,29.94,0
2008,E,muck,4,,,,,,0.26,18.99,0.24,0,19.23,22.4,29.94,0
2008,E,muck,4,,1,,,,0.24,3.63,0.09,0,3.72,26.69230769,29.94,0
2008,NW,gravel,4,,,,,,0.18,11.79,0.13,0,11.92,24.36666667,29.94,0
2008,NW,muck,4,0,0,,,,0.23,117.16,0.14,0,117.3,24.5,29.94,0
2008,NW,muck,4,0,0,,,,0.14,2.81,0,0,2.81,28.12,29.94,0
2008,NW,muck,4,0,0,,,,0.13,20.94,0.94,0,21.89,25,29.94,0
2008,NW,muck,4,0,0,,,,0.13,50.08,0.42,0,50.51,26.84375,29.94,0
2008,W,muck,2,0,0,,,,0.43,139.9,23.75,0.48,164.13,28,29.94,0
2008,W,sand,3,,,,,,0.3,54.94,11.98,0.12,67.04,26.1,29.94,0
2008,W,sand,3,0,0,,,,0.23,1.23,5.06,0,6.3,28.57142857,29.94,0
2008,W,sand,3,,,,,,0.3,2.26,6.52,2.78,11.57,25.61538462,29.94,0
2008,W,sand,1,0,0,,,,0.21,2.94,0,0,2.94,26.28125,29.94,0
2007,E,muck,3,0,0,19.6,6.3,6.5,0.3,12.85,0,0,12.85,25.9,30.52,1
2007,E,muck,1,1,0,18.4,6.3,4.3,0.4,3.5,0.07,0,3.57,26.2,30.52,1
2007,E,muck,3,0,0,18.7,6.3,6.8,0.28,2.02,0,0,2.02,26.3,30.52,1
2007,E,muck,2,1,0,20.5,6.3,7.55,0.28,1.01,0,0,1.01,21.9,30.52,1
2007,E,muck,1,1,0,19.9,6.3,7.2,0.3,1.95,0,0,1.95,26.2,30.52,1
2007,NW,muck,1,0,1,16.1,,4.4,0.35,8.51,0.1,0,8.62,22.8,30.52,1
2007,NW,muck,3,0,2,15.7,,3.6,0.23,0.15,0,0,0.15,24,30.52,1
2007,NW,muck,2,1,1,16.4,,3,0.24,0.31,0,0,0.31,26.25,30.52,1
2007,NW,muck,2,0,2,15.9,,4.25,0.28,6.93,0,0,6.93,25.1,30.52,1
2007,NW,muck,2,1,1,,,,0.23,6.01,0,0,6.01,22,30.52,1
2007,W,muck,1,1,0,21.2,6.4,1.01,0.24,0.98,0,0,0.98,27.6,30.52,1
2007,W,muck,1,0,0,20.2,6.3,8.24,0.4,3.95,0,0,3.95,26.5,30.52,1
2007,W,muck,1,1,0,20.6,6.4,9.37,0.65,20.74,0,0,20.74,24.5,30.52,1
2007,W,muck,1,1,1,15.7,,1.6,0.69,3.65,0,0,3.65,25,30.52,1
2007,W,sand,1,1,0,20.7,6.3,7.67,0.33,9.92,0,0,9.92,25.54545455,30.52,1
2006,E,muck,1,1,1,18.7,2.3,2.6,0.7,11.83,85.51,0.1,97.44,23.45833333,55.77,0
2006,E,muck,1,1,0,17.9,2.3,2,0.75,9.63,151.7,0,161.33,25.16,55.77,0
2006,NW,muck,1,1,4,18,2.6,11,0.43,10.36,16.07,0,26.43,25.46341463,55.77,0
2006,NW,mud,2,2,1,17.2,2.6,7.4,0.49,14.1,52.45,0,66.55,23.86666667,55.77,0
2006,NW,muck,3,1,1,,,,0.55,52.53,100.88,0,153.41,29,55.77,0
2006,NW,muck,3,1,1,,,,0.5,37.42,59.38,0,96.8,27.83333333,55.77,0
2006,W,muck,3,1,2,15.5,2.6,9,0.51,13.37,75.95,0.11,89.43,34.9,55.77,0
2006,W,sand,0,0,3,15.5,2.6,8.8,0.55,71.12,5.19,0,76.31,15.20833333,55.77,0
2006,W,muck,3,1,2,15.8,2.6,5.3,0.55,21.09,13.77,0.12,34.99,20.63333333,55.77,0
2006,W,sand,3,1,2,15.9,2.6,9.3,0.58,18.57,6.71,0,25.29,22.83333333,55.77,0
2006,W,sand,0,1,,16.25,2.6,11.5,0.65,20.33,4.03,0,24.36,16.2,55.77,0
2005,E,mud,1,1,3,16.4,3.6,0.11,0.375,10.46,0,0,10.46,19.75,49.96,1
2005,E,muck,0,1,2,16.1,3.6,0.04,0.5,4.64,0,0,4.64,21.8125,49.96,1
2005,E,muck,0,1,2,15.9,3.5,0.63,0.375,0.58,0,0,0.58,19,49.96,1
2005,E,muck,0,1,3,16.6,3.6,0.61,0.425,0.43,0.06,0.06,0.55,26,49.96,1
2005,E,muck,1,1,3,16.4,3.6,0.41,0.4,32.62,0.16,0,32.78,26.90625,49.96,1
2005,NW,gravel,2,1,4,18.1,3.8,0.02,0.4,78.31,0.74,0,79.04,23.5,49.96,1
2005,NW,muck,2,1,4,18.3,3.6,3.59,0.425,164.73,1.18,0,165.91,20.59375,49.96,1
2005,NW,muck,0,1,4,18.6,3.7,3.91,0.275,87.95,0.3,0,88.24,22.5625,49.96,1
2005,NW,muck,0,1,4,19.23,3.8,4.84,0.25,134.48,0.38,0,134.86,22.28125,49.96,1
2005,NW,mud,0,2,4,17.9,3.7,3.99,0.275,44.65,0.09,0,44.74,21.28125,49.96,1
2005,W,sand,0,0,4,17.5,3.9,4.92,0.125,41.92,0,0,41.92,17.13333333,49.96,1
2005,W,sand,1,0,2,17.7,3.8,4.21,0.025,70.49,0,0,70.49,17.125,49.96,1
2005,W,muck,1,0,4,15.7,3.7,0.93,0.725,94.39,2.11,0,96.51,17.1875,49.96,1
2005,W,sand,0,0,3,16,3.7,2.93,0.425,101.37,0,0,101.37,18.625,49.96,1
2000,E,muck,3,0,0,17.5,2.5,6.51,0.265,14.78,0,0,14.78,22.67741935,38.08,0
2000,NW,gravel,4,1,0,16,2.7,11.97,0.23,3.04,5.8,0,8.84,30.33333333,38.08,0
2000,NW,muck,0,1,0,15.9,2.7,5.64,0.335,45.71,10.61,0.41,56.73,23.5,38.08,0
2000,NW,muck,1,0,0,15.9,2.7,8.23,0.2,12.62,9.05,0.24,21.9,27.96969697,38.08,0
2000,NW,gravel,0,0,0,16.2,2.7,10.3,0.225,0.36,19.82,0.18,20.36,19.5,38.08,0
